accident_id,accident_date,accident_time,hour_of_day,month,location_id,location_name,zone,road_type,severity,weather_condition,lighting_condition,vehicle_type,reported_cause,casualties,latitude,longitude
ACC-0242,2026-01-22,09:50,9,2026-01,L012,Green Park Turn,west,junction,major,clear,night_poor_light,bus,overspeeding,2,28.57713664531429,77.19535502077336
ACC-1239,2026-02-01,14:05,14,2026-02,L009,Hospital Service Road,central,local_road,moderate,fog,dusk,two_wheeler,tailgating,1,28.62056177510521,77.20986936442797
ACC-0814,2026-06-25,08:25,8,2026-06,L002,Riverside Flyover,east,flyover,major,cloudy,night_poor_light,truck,signal_violation,1,28.62136235500146,77.23839385464674
ACC-0355,2026-03-07,20:05,20,2026-03,L001,Maple Junction,central,signalized_crossing,minor,rain,night_poor_light,truck,low_visibility,0,28.605485113085706,77.21582857362178
ACC-0705,2026-05-26,03:25,3,2026-05,L012,Green Park Turn,west,local_road,major,clear,daylight,truck,sudden_lane_change,2,28.580646750328476,77.18995386217243
ACC-1365,2026-05-03,14:40,14,2026-05,L004,School Gate Road,north,junction,critical,clear,dusk,car,low_visibility,3,28.645892175722153,77.20513992649994
ACC-0019,2026-04-01,06:15,6,2026-04,L002,Riverside Flyover,east,flyover,minor,rain,dusk,auto_rickshaw,wet_surface,0,28.61385033254447,77.24439207572658
ACC-1326,2026-01-13,13:00,13,2026-01,L005,Metro Link Turn,west,arterial,minor,clear,daylight,truck,low_visibility,0,28.60165800775749,77.18849534164364
ACC-0364,2026-02-23,03:20,3,2026-02,L001,Maple Junction,central,local_road,moderate,clear,dusk,auto_rickshaw,signal_violation,0,28.607833967417733,77.21655207390619
ACC-0779,2026-01-20,17:10,17,2026-01,L008,Old Bridge Approach,north,bridge_approach,critical,rain,night_lit,truck,tailgating,2,28.645770196304618,77.22068956212254
ACC-1120,2026-05-19,15:20,15,2026-05,L006,Industrial Belt  Exit,south,junction,minor,wind,dusk,cycle,wet_surface,0,28.57271955107476,77.24326594268338
ACC-1232,2026-04-22,21:35,21,2026-04,L002,Riverside Flyover,east,flyover,major,wind,daylight,car,signal_violation,2,28.61426007338587,77.2398301391701
ACC-0824,2026-03-04,18:25,18,2026-03,L006,Industrial Belt Exit,south,highway_ramp,minor,rain,night_poor_light,cycle,wrong_side_entry,0,28.576361385656575,77.24202103369042
ACC-1421,2026-02-25,23:05,23,2026-02,L012,Green Park Turn,west,arterial,major,clear,daylight,two_wheeler,wrong_side_entry,2,28.574296232915984,77.18590209821281
ACC-1357,2026-01-11,19:45,19,2026-01,L009,Hospital Service Road,central,junction,major,rain,daylight,truck,wrong_side_entry,1,28.62030677762009,77.20396991954175
ACC-0164,2026-04-07,20:40,20,2026-04,L003,Market Ring Road,central,arterial,minor,clear,daylight,auto_rickshaw,wrong_side_entry,0,28.605585555304472,77.21911702545253
ACC-0973,2026-05-25,11:50,11,2026-05,L010,Airport Link Signal,east,junction,major,clear,dusk,car,wet_surface,2,28.639418333776593,77.26011611407917
ACC-1503,2026-01-16,17:30,17,2026-01,L010,Airport Link Signal,east,local_road,moderate,clear,daylight,two_wheeler,wrong_side_entry,1,28.638182523542678,77.2551715040979
ACC-0819,2026-02-03,11:50,11,2026-02,L002,Riverside Flyover,east,flyover,moderate,rain,daylight,auto_rickshaw,pedestrian_conflict,1,28.62709942650476,77.24278697336717
ACC-1092,2026-02-28,00:40,0,2026-02,L001,Maple Junction,central,local_road,minor,rain,dusk,two_wheeler,overspeeding,0,28.61504325171786,77.21665927025063
ACC-1354,2026-06-06,07:30,7,2026-06,L007,Lakeview Avenue,west,collector_road,moderate,rain,night_poor_light,truck,wet_surface,0,28.596727009815325,77.16898714099682
ACC-1958,2026-03-15,12:40,12,2026-03,L012,Green Park Turn,west,local_road,moderate,clear,daylight,car,tailgating,0,28.582417659789698,77.18601887325555
ACC-1132,2026-01-06,08:45,8,2026-01,L011,Depot Crossing,south,local_road,moderate,cloudy,night_poor_light,truck,tailgating,1,28.56994406275474,77.22601689792306
ACC-0942,2026-03-31,19:30,19,2026-05,L004,School Gate Road,north,local_road,moderate,clear,night_poor_light,car,wet_surface,0,28.639867882550625,77.20249082583969
ACC-1127,2026-03-16,17:20,17,2026-03,L002,Riverside Flyover,east,flyover,minor,rain,dusk,two_wheeler,,0,28.616283756344405,77.24491026019136
ACC-0236,2026-02-09,19:05,19,2026-02,L006,Industrial Belt Exit,south,junction,moderate,fog,night_lit,car,sudden_lane_change,1,28.574245566317586,77.24911224423738
ACC-0714,2026-03-27,09:45,9,2026-03,L005,Metro Link Turn,west,junction,critical,fog,night_poor_light,car,sudden_lane_change,2,28.605268633157085,77.18265281654516
ACC-0611,2026-06-03,00:45,0,2026-06,L010,Airport Link Signal,east,arterial,moderate,clear,dusk,two_wheeler,pedestrian_conflict,1,28.636336465416893,77.26097073216518
ACC-1673,2026-03-10,16:55,16,2026-03,L005,Metro Link Turn,west,arterial,minor,rain,night_lit,car,overspeeding,0,28.605286959926975,77.1776701439071
ACC-1312,2026-02-24,18:50,18,2026-02,L012,Green Park Turn,west,junction,moderate,clear,dusk,two_wheeler,sudden_lane_change,0,28.579137576427023,77.18553625598602
ACC-0864,2026-01-08,05:05,5,2026-01,L012,Green Park Turn,west,junction,major,wind,daylight,cycle,signal_violation,1,28.58188706091582,77.1952665536335
ACC-0191,2026-03-03,22:10,22,2026-03,L012,Green Park Turn,west,arterial,moderate,rain,daylight,bus,overspeeding,1,28.57578735123106,77.18566282894677
ACC-1319,2026-01-21,17:20,17,2026-01,L011,Depot Crossing,south,arterial,minor,clear,dusk,bus,low_visibility,0,28.570486430088657,77.22596019156202
ACC-1071,2026-05-08,16:00,16,2026-05,L005,Metro Link Turn,west,junction,moderate,wind,dusk,two_wheeler,,1,28.60223170049806,77.1906456308046
ACC-1901,2026-03-30,06:40,6,2026-03,L004,School Gate Road,north,local_road,major,clear,dusk,cycle,wet_surface,1,28.63816885911283,77.19738192613687
ACC-1697,2026-04-28,15:55,15,2026-04,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,daylight,cycle,overspeeding,0,28.57751677913901,77.23619239419318
ACC-1842,2026-04-12,19:15,19,2026-04,L003,Market Ring Road,central,local_road,moderate,fog,daylight,car,tailgating,0,28.606453811214642,77.21930668769784
ACC-1622,2026-04-22,10:30,10,2026-04,L006,Industrial Belt Exit,south,local_road,moderate,clear,night_poor_light,truck,overspeeding,1,28.572358341319894,77.23785829158344
ACC-0772,2026-06-07,10:25,10,2026-06,L001,Maple Junction,central,junction,moderate,clear,night_poor_light,cycle,low_visibility,0,28.613646834750575,77.20700743107555
ACC-0750,2026-04-10,18:30,18,2026-04,L006,Industrial Belt Exit,south,arterial,moderate,clear,daylight,two_wheeler,wrong_side_entry,0,28.574555991616872,77.24952063364128
ACC-0884,2026-01-10,22:15,22,2026-01,L003,Market Ring Road,central,junction,moderate,wind,night_lit,cycle,low_visibility,0,28.602264880856694,77.21942088927047
ACC-0653,2026-06-05,11:00,11,2026-06,L005,Metro-Link Turn,west,local_road,major,clear,night_poor_light,car,signal_violation,2,28.592398397239553,77.18139704349014
ACC-1725,2026-03-09,17:50,17,2026-03,L001,Maple Junction,central,local_road,minor,rain,daylight,truck,overspeeding,0,28.611272998767046,77.2165190877893
ACC-1969,2026-04-07,18:20,18,2026-04,L011,Depot Crossing,south,signalized_crossing,major,rain,daylight,two_wheeler,wrong_side_entry,1,28.56190385802124,77.22179828675151
ACC-0501,2026-01-04,09:30,9,2026-01,L012,green park turn,west,local_road,major,rain,night_poor_light,bus,sudden_lane_change,2,28.57097114448933,77.18633994193507
ACC-1195,2026-06-19,17:45,17,2026-06,L009,Hospital Service Road,central,junction,minor,clear,night_lit,car,pedestrian_conflict,0,28.61836241740698,77.20069302965004
ACC-1603,2026-03-23,18:40,18,2026-03,L003,Market Ring Road,central,junction,major,wind,dusk,car,sudden_lane_change,2,28.598343268115993,77.2249594076696
ACC-1553,2026-05-28,11:50,11,2026-05,L012,Green Park Turn,west,junction,moderate,clear,night_lit,truck,low_visibility,1,28.575721615881246,77.18500538433014
ACC-0145,2026-03-26,19:05,19,2026-03,L001,Maple Junction,central,local_road,minor,cloudy,dusk,bus,low_visibility,1,28.61337790003524,77.22167885730418
ACC-1899,2026-01-20,08:35,8,2026-01,L010,Airport Link Signal,east,local_road,minor,clear,dusk,car,sudden_lane_change,0,28.635721878101453,77.25203889068426
ACC-0055,2026-06-14,17:30,17,2026-06,L008,Old Bridge Approach,north,bridge_approach,minor,clear,night_lit,car,tailgating,1,28.649773702944774,77.2162029670931
ACC-0075,2026-02-05,03:45,3,2026-02,L012,Green Park Turn,west,local_road,minor,clear,daylight,car,pedestrian_conflict,0,28.575371584890977,77.19704649729049
ACC-1169,2026-03-03,21:25,21,2026-03,L008,Old Bridge Approach,north,bridge_approach,minor,cloudy,daylight,two_wheeler,low_visibility,0,28.645485646151837,77.21866257008587
ACC-1554,2026-03-27,19:50,19,2026-03,L006,Industrial Belt Exit,south,junction,critical,wind,night_poor_light,two_wheeler,tailgating,3,28.56381696560004,77.24212286105166
ACC-1150,2026-02-28,17:40,17,2026-02,L002,Riverside Flyover,east,flyover,moderate,clear,daylight,truck,low_visibility,0,28.62783319171336,77.23040919702193
ACC-0689,2026-04-09,14:25,14,2026-04,L003,Market Ring Road,central,arterial,critical,rain,dusk,car,wet_surface,3,28.599911116378276,77.21989767564808
ACC-1801,2026-05-13,09:00,9,2026-05,L006,Industrial Belt Exit,south,arterial,major,rain,daylight,car,signal_violation,1,28.56706603310743,77.2464319662699
ACC-1720,2026-06-28,08:00,8,2026-06,L007,Lakeview Avenue,west,junction,major,rain,night_lit,two_wheeler,wrong_side_entry,2,28.582824513456668,77.1783980086094
ACC-1799,2026-05-26,10:30,10,2026-05,L005,Metro Link Turn,west,local_road,moderate,rain,dusk,cycle,overspeeding,0,28.596185621982876,77.18696356030465
ACC-1153,2026-05-02,19:40,19,2026-05,L011,Depot Crossing,south,junction,major,clear,dusk,auto_rickshaw,tailgating,2,28.571813273801695,77.21946717344713
ACC-0248,2026-04-23,09:25,9,2026-04,L011,Depot Crossing,south,arterial,moderate,clear,night_lit,two_wheeler,tailgating,1,28.572026226132213,77.22215095121787
ACC-1335,2026-03-14,00:25,0,2026-03,L004,School Gate Road,north,arterial,moderate,clear,night_poor_light,bus,sudden_lane_change,0,28.633495741906096,77.19511546849387
ACC-1737,2026-04-16,10:40,10,2026-04,L006,Industrial Belt Exit,south,local_road,minor,cloudy,daylight,two_wheeler,signal_violation,0,28.57870515548514,77.24641462827627
ACC-1028,2026-02-06,00:10,0,2026-02,L003,Market Ring Road,central,arterial,minor,fog,night_poor_light,auto_rickshaw,tailgating,0,28.59981635363319,77.2311557798063
ACC-0376,2026-04-04,05:35,5,2026-04,L008,Old Bridge Approach,north,bridge_approach,major,clear,dusk,two_wheeler,wet_surface,2,28.648113989017716,77.21489043964596
ACC-1723,2026-02-15,08:00,8,2026-02,L002,Riverside Flyover,east,flyover,moderate,,dusk,auto_rickshaw,pedestrian_conflict,0,28.622251463634626,77.23037049523388
ACC-1678,2026-01-02,19:45,19,2026-01,L009,Hospital Service Road,central,junction,moderate,wind,daylight,cycle,pedestrian_conflict,1,,
ACC-0690,2026-05-30,18:25,18,2026-05,L003,Market Ring Road,central,local_road,moderate,clear,dusk,bus,tailgating,0,28.60185088434583,77.22052700169304
ACC-0378,2026-05-23,17:25,17,2026-05,L006,industrial belt exit,south,arterial,major,rain,dusk,two_wheeler,tailgating,1,28.57026883350326,77.24862706219083
ACC-0650,2026-06-10,16:30,16,2026-06,L007,Lakeview Avenue,west,junction,moderate,cloudy,night_lit,truck,low_visibility,1,28.58502669075506,77.17706875350014
ACC-0796,2026-05-13,02:55,2,2026-05,L002,Riverside Flyover,east,flyover,critical,rain,daylight,truck,overspeeding,3,28.624595386471416,77.24165285530296
ACC-1511,2026-05-18,05:15,5,2026-05,L004,School Gate Road,north,junction,major,rain,dusk,cycle,sudden_lane_change,1,28.644626665293426,77.20568440117995
ACC-0113,2026-03-27,04:35,4,2026-03,L009,Hospital Service Road,central,service_road,critical,clear,night_lit,auto_rickshaw,wet_surface,2,28.618692979163292,77.21505828551953
ACC-1157,2026-06-02,21:30,21,2026-06,L003,Market Ring Road,central,arterial,moderate,clear,night_lit,cycle,overspeeding,1,28.600428028120874,77.22257361749219
ACC-0467,2026-04-05,09:50,9,2026-04,L012,Green Park Turn,west,arterial,major,fog,daylight,cycle,,2,28.5828288215776,77.1858177100172
ACC-1274,2026-01-23,02:50,2,2026-01,L003,Market Ring Road,central,arterial,major,clear,dusk,truck,overspeeding,1,28.609557623775412,77.22249448433449
ACC-0262,2026-04-17,05:30,5,2026-04,L004,School Gate Road,north,junction,minor,wind,night_poor_light,truck,overspeeding,0,28.639812206136256,77.19841982228047
ACC-0777,2026-01-27,07:10,7,2026-01,L007,Lakeview Avenue,west,collector_road,moderate,clear,dusk,auto_rickshaw,tailgating,1,28.586360816304573,77.1808219739732
ACC-0480,2026-03-03,08:20,8,2026-03,L004,School Gate Road,north,junction,minor,clear,daylight,two_wheeler,wet_surface,0,28.644379903582653,77.20198624933555
ACC-1753,2026-06-10,09:30,9,2026-06,L007,Lakeview Avenue,west,junction,moderate,fog,dusk,bus,low_visibility,1,28.59067826556182,77.16818746448602
ACC-0066,2026-04-20,07:20,7,2026-04,L012,Green Park Turn,west,junction,moderate,clear,night_lit,auto_rickshaw,low_visibility,0,28.574275052081884,77.19292741139868
ACC-0487,2026-06-17,08:25,8,2026-06,L003,Market Ring Road,central,junction,moderate,rain,night_poor_light,truck,signal_violation,0,28.61201913977947,77.22892041589142
ACC-1810,2026-05-01,08:00,8,2026-05,L006,industrial belt exit,south,arterial,major,clear,dusk,two_wheeler,signal_violation,2,28.563748925628108,77.24110917387154
ACC-0637,2026-03-29,10:05,10,2026-03,L003,market ring road,central,local_road,minor,wind,night_poor_light,cycle,tailgating,0,28.60490778539246,77.22179772259521
ACC-1472,2026-02-12,12:30,12,2026-02,L001,Maple Junction,central,arterial,major,clear,night_poor_light,truck,tailgating,2,28.606455937547455,77.21831977973696
ACC-0504,2026-05-10,21:00,21,2026-05,L012,Green Park Turn,west,arterial,moderate,wind,night_lit,car,wrong_side_entry,1,28.581406367976538,77.19240694251766
ACC-0404,2026-03-24,10:30,10,2026-03,L003,Market Ring Road,central,local_road,minor,cloudy,night_poor_light,car,pedestrian_conflict,0,28.601107651205417,77.22398076712574
ACC-0719,2026-01-21,08:30,8,2026-01,L001,Maple Junction,central,local_road,critical,fog,daylight,two_wheeler,overspeeding,2,28.618495272687248,77.21026549324145
ACC-1683,2026-04-10,18:45,18,2026-04,L006,Industrial Belt Exit,south,local_road,minor,clear,dusk,two_wheeler,signal_violation,0,28.57461268791366,77.2456697927121
