accident_id,accident_date,accident_time,hour_of_day,month,location_id,location_name,zone,road_type,severity,weather_condition,lighting_condition,vehicle_type,reported_cause,casualties,latitude,longitude,is_severe
ACC-0242,2026-01-22,09:50,9,2026-01,L012,Green Park Turn,west,junction,major,clear,night_poor_light,bus,overspeeding,2,28.57713664531429,77.19535502077336,True
ACC-1239,2026-02-01,14:05,14,2026-02,L009,Hospital Service Road,central,local_road,moderate,fog,dusk,two_wheeler,tailgating,1,28.62056177510521,77.20986936442797,False
ACC-0814,2026-06-25,08:25,8,2026-06,L002,Riverside Flyover,east,flyover,major,cloudy,night_poor_light,truck,signal_violation,1,28.62136235500146,77.23839385464674,True
ACC-0355,2026-03-07,20:05,20,2026-03,L001,Maple Junction,central,signalized_crossing,minor,rain,night_poor_light,truck,low_visibility,0,28.605485113085702,77.21582857362178,False
ACC-0705,2026-05-26,03:25,3,2026-05,L012,Green Park Turn,west,local_road,major,clear,daylight,truck,sudden_lane_change,2,28.58064675032848,77.18995386217243,True
ACC-1365,2026-05-03,14:40,14,2026-05,L004,School Gate Road,north,junction,critical,clear,dusk,car,low_visibility,3,28.645892175722157,77.20513992649994,True
ACC-0019,2026-04-01,06:15,6,2026-04,L002,Riverside Flyover,east,flyover,minor,rain,dusk,auto_rickshaw,wet_surface,0,28.61385033254447,77.24439207572658,False
ACC-1326,2026-01-13,13:00,13,2026-01,L005,Metro Link Turn,west,arterial,minor,clear,daylight,truck,low_visibility,0,28.60165800775749,77.18849534164364,False
ACC-0364,2026-02-23,03:20,3,2026-02,L001,Maple Junction,central,local_road,moderate,clear,dusk,auto_rickshaw,signal_violation,0,28.607833967417733,77.21655207390619,False
ACC-0779,2026-01-20,17:10,17,2026-01,L008,Old Bridge Approach,north,bridge_approach,critical,rain,night_lit,truck,tailgating,2,28.645770196304618,77.22068956212254,True
ACC-1120,2026-05-19,15:20,15,2026-05,L006,Industrial Belt  Exit,south,junction,minor,wind,dusk,cycle,wet_surface,0,28.57271955107476,77.24326594268338,False
ACC-1232,2026-04-22,21:35,21,2026-04,L002,Riverside Flyover,east,flyover,major,wind,daylight,car,signal_violation,2,28.61426007338587,77.2398301391701,True
ACC-0824,2026-03-04,18:25,18,2026-03,L006,Industrial Belt Exit,south,highway_ramp,minor,rain,night_poor_light,cycle,wrong_side_entry,0,28.576361385656572,77.24202103369042,False
ACC-1421,2026-02-25,23:05,23,2026-02,L012,Green Park Turn,west,arterial,major,clear,daylight,two_wheeler,wrong_side_entry,2,28.574296232915984,77.18590209821281,True
ACC-1357,2026-01-11,19:45,19,2026-01,L009,Hospital Service Road,central,junction,major,rain,daylight,truck,wrong_side_entry,1,28.62030677762009,77.20396991954175,True
ACC-0164,2026-04-07,20:40,20,2026-04,L003,Market Ring Road,central,arterial,minor,clear,daylight,auto_rickshaw,wrong_side_entry,0,28.605585555304472,77.21911702545253,False
ACC-0973,2026-05-25,11:50,11,2026-05,L010,Airport Link Signal,east,junction,major,clear,dusk,car,wet_surface,2,28.639418333776597,77.26011611407917,True
ACC-1503,2026-01-16,17:30,17,2026-01,L010,Airport Link Signal,east,local_road,moderate,clear,daylight,two_wheeler,wrong_side_entry,1,28.63818252354268,77.2551715040979,False
ACC-0819,2026-02-03,11:50,11,2026-02,L002,Riverside Flyover,east,flyover,moderate,rain,daylight,auto_rickshaw,pedestrian_conflict,1,28.62709942650476,77.24278697336717,False
ACC-1092,2026-02-28,00:40,0,2026-02,L001,Maple Junction,central,local_road,minor,rain,dusk,two_wheeler,overspeeding,0,28.61504325171786,77.21665927025063,False
ACC-1354,2026-06-06,07:30,7,2026-06,L007,Lakeview Avenue,west,collector_road,moderate,rain,night_poor_light,truck,wet_surface,0,28.596727009815325,77.16898714099682,False
ACC-1958,2026-03-15,12:40,12,2026-03,L012,Green Park Turn,west,local_road,moderate,clear,daylight,car,tailgating,0,28.582417659789694,77.18601887325555,False
ACC-1132,2026-01-06,08:45,8,2026-01,L011,Depot Crossing,south,local_road,moderate,cloudy,night_poor_light,truck,tailgating,1,28.56994406275474,77.22601689792306,False
ACC-0942,2026-03-31,19:30,19,2026-05,L004,School Gate Road,north,local_road,moderate,clear,night_poor_light,car,wet_surface,0,28.639867882550625,77.20249082583969,False
ACC-1127,2026-03-16,17:20,17,2026-03,L002,Riverside Flyover,east,flyover,minor,rain,dusk,two_wheeler,Unknown,0,28.616283756344405,77.24491026019136,False
ACC-0236,2026-02-09,19:05,19,2026-02,L006,Industrial Belt Exit,south,junction,moderate,fog,night_lit,car,sudden_lane_change,1,28.574245566317583,77.24911224423738,False
ACC-0714,2026-03-27,09:45,9,2026-03,L005,Metro Link Turn,west,junction,critical,fog,night_poor_light,car,sudden_lane_change,2,28.605268633157085,77.18265281654516,True
ACC-0611,2026-06-03,00:45,0,2026-06,L010,Airport Link Signal,east,arterial,moderate,clear,dusk,two_wheeler,pedestrian_conflict,1,28.636336465416893,77.26097073216518,False
ACC-1673,2026-03-10,16:55,16,2026-03,L005,Metro Link Turn,west,arterial,minor,rain,night_lit,car,overspeeding,0,28.60528695992697,77.1776701439071,False
ACC-1312,2026-02-24,18:50,18,2026-02,L012,Green Park Turn,west,junction,moderate,clear,dusk,two_wheeler,sudden_lane_change,0,28.579137576427023,77.18553625598602,False
